Papir;ISIN;Dato for bevægelse;Dato for afvikling;Hændelse;Nota;Bevægelse;Beholdning;Afregningsbeløb;Kurs;Valuta;Valutakurs;
NØRRESUNDBY BANK;BEC7462959;08.04.2014;11.04.2014;Køb;0018074;15,00;15,00;3.900,00;260,00;DKK;100,00;
Aalborg Boldspilklub A/S;BEC1159656;28.04.2014;01.05.2014;Køb;0001727;23,00;23,00;98,44;4,28;DKK;100,00;
Danske Bank;DK0010274414;30.04.2014;05.05.2014;Køb;0000288;25,00;25,00;3.852,50;154,10;DKK;100,00;
Aalborg Boldspilklub A/S;BEC1159656;09.05.2014;14.05.2014;Køb;0000409;139,00;162,00;993,85;7,15;DKK;100,00;
AALBORG BOLDSPILKLUB A/S ...;DK0060565208;12.08.2014;15.08.2014;Salg;0004650;-2.754,00;-2.754,00;-400,25;0,15;DKK;100,00;
NØRRESUNDBY BANK;BEC7462959;10.11.2014;12.11.2014;Salg;0002074;-15,00;0,00;-6.007,50;400,50;DKK;100,00;
Spar Nord Bank A/S;DK0060036564;18.11.2014;20.11.2014;Køb;0000107;106,00;106,00;5.989,00;56,50;DKK;100,00;
Danske Bank;DK0010274414;10.02.2015;12.02.2015;Køb;0000672;24,00;49,00;4.029,60;167,90;DKK;100,00;
ISS A/S;DK0060542181;12.03.2015;16.03.2015;Køb;0003750;24,00;24,00;4.929,60;205,40;DKK;100,00;
Novo Nordisk B;DK0060534915;27.04.2015;29.04.2015;Køb;0001896;12,00;12,00;4.776,00;398,00;DKK;100,00;
Danske Bank;DK0010274414;08.07.2015;10.07.2015;Køb;0000208;30,00;79,00;5.709,00;190,30;DKK;100,00;
Spar Nord Bank A/S;DK0060036564;16.02.2016;18.02.2016;Køb;0001424;93,00;199,00;4.975,50;53,50;DKK;100,00;
Pandora;DK0060252690;23.03.2016;30.03.2016;Køb;0000544;2,00;2,00;1.692,00;846,00;DKK;100,00;
Alphabet Inc. - A -;US02079K3059;19.04.2016;21.04.2016;Køb;0000724;2,00;2,00;10.439,22;690,00;DKK;745,60;
Pandora;DK0060252690;24.05.2016;26.05.2016;Køb;2029066;10,00;12,00;9.954,00;992,50;DKK;100,00;
Spar Nord Bank A/S;DK0060036564;05.09.2016;07.09.2016;Køb;2191657;113,00;312,00;7.458,00;66,00;DKK;100,00;
Danske Bank;DK0010274414;28.10.2016;01.11.2016;Køb;2271952;23,00;102,00;4.850,70;210,90;DKK;100,00;
ISS A/S;DK0060542181;12.12.2016;14.12.2016;Salg;2339490;-24,00;0,00;-5.752,80;239,70;DKK;100,00;
Walmart INC.;US9311421039;12.12.2016;15.12.2016;Køb;2340317;11,00;11,00;5.666,01;70,10;DKK;702,38;
Apple Inc;US0378331005;28.02.2017;03.03.2017;Køb;2511549;6,00;6,00;6.065,24;137,00;DKK;707,45;
Elekta B;SE0000163628;10.05.2017;11.05.2017;Køb;2682394;68,00;68,00;5.041,36;94,70;DKK;76,73;
Danske Bank;DK0010274414;07.06.2017;09.06.2017;Køb;2718213;1,00;103,00;248,20;248,20;DKK;100,00;
Pandora;DK0060252690;23.08.2018;27.08.2018;Salg;2437993;-12,00;0,00;-4.615,20;384,60;DKK;100,00;
Novo Nordisk B;DK0060534915;23.08.2018;27.08.2018;Salg;2438030;-12,00;0,00;-3.816,00;318,00;DKK;100,00;
Elekta B;SE0000163628;23.08.2018;27.08.2018;Salg;2438035;-68,00;0,00;-6.023,10;127,45;DKK;70,65;
